frame,plate_text
2,60
12,R-183-JF
13,R-183-JF
14,R-183-JF
30,R-183-JF
32,R-183-JF
33,R-183-JF
34,R-183-JF
35,R-183-JF
36,R-183-JF
38,R-183-JF
39,R-183-JF
40,R-183-JF
41,R-183-JF
42,R-183-JF
43,R-183 JF
44,R-183-JF
46,R-183-JF
47,R-183-JF
48,R-183-JF
49,R483-JF
51,R-8 UIr
53,R-181 IF
57,R-183 JF
76,"789r#"""
79,"7894/"""
84,7892-Jv
87,7894-Jv
88,4-8e4-Jv
89,8-894-Jv
91,8-894-Jv
92,N-894-Jv
96,N-894-Jv
97,N-894-Jv
98,N-894-JV
99,N-894-JV
100,N-894-Jv
101,N-894-JV
102,N-894-Jv
103,N-894-JV
104,N-894-JV
105,N-894-JV
106,N894-JV
107,N-894-JV
109,T-894-JV
120,656KH
124,L-656-XH
126,(
127,o56-XH
129,L656.XH
131,0
137,L656-XH
138,L656-XH
139,L656-XH
140,L656-XH
141,L-656-XH
142,L656-.XH
143,L-656-XH
144,L-656-XH
145,L656-XH
146,L656-.XH
147,L6s6-XH
148,L-656-XH
149,L-6s6-XH
150,L-656-XH
151,L656-XH
152,L.656-XH
156,L656-XH
157,L656-XH
158,L;656.XH
160,L656-XH
161,L6s6-XH
164,L656.XH
165,L6s6-XH
166,L6s6-XH
167,L6s6-.XH
168,L656-XH
169,L656 .XH
170,L6s6-XH
171,L656-XH
173,L656XH
174,L656-XH
175,L656 XH
176,L656-XH
177,L6s6-XH
178,L6s6 XH
179,L6s6 XH
180,L656 XH
181,L6s6 XH
182,L656 XH
183,L656H
184,L656XH
186,L656*XH
187,L656 XH
188,L656*XH
189,L656 XH
190,L656KR
191,L656 XH
192,L656 XH
193,Lb56-XH
194,L656 XH
195,1L656 XH
196,L656 XH
205,Lop6 KH
250,0.644-LX
251,0644-LX
255,H644LX
257,H644-LX
261,H-644-LX
266,H-644-LX
268,H-644-LX
271,H644LX
273,H-644-LX
276,H644-LX
281,H.644-LX
284,H-644LX
294,CID
297,K-884-RS
299,K884RS
300,K-884-RS
301,K-884-RS
302,K884 RS
305,K-884-RS
306,K-884-RS
308,K.884-RS
325,66-F4-07
326,66-F4 07
337,66-HH-07
338,66-HH-07
343,66-HH-07
344,66-HH-07
345,66-HH-07
347,66-HH-07
348,66-HH-07
349,66-HH-07
350,66-HH-07
351,66-HH-07
352,66-HH-07
353,66-HH-07
354,66-HH-07
355,66-HH-07
359,66-HH-07
361,66-HH-07
362,66-HH-07
363,66-HA-07
364,66-HH-07
371,66-HH-07
375,66-HH-07
376,66-HH-07
377,0
378,66-HA-07
380,66-HH-07
383,0
384,0
385,0
387,66-HH-07
388,66-HH-07
389,66-HH-07
390,0
391,66-HH-07
392,66-HH-07
395,66-HH-07
429,DCEUZ
486,8077
487,fe
489,60
491,60
494,L6osHZ
496,70
499,L6o5-HZ
500,L6os-HZ
501,L605-HZ
502,L605 HZ
503,L-605-HZ
504,L6os-HZ
505,L6os-HZ
506,L6os-HZ
507,L6os-HZ
508,L6o5-HZ
509,L6o5 HZ
510,L6o5 HZ
511,L6o5-HZ
512,L6os HZ
513,L6os HZ
514,L6os HZ
516,L6os HZ
517,Leo5 HZ
518,L6os-HZ
519,L6os-HZ
520,L6o5 HZ
522,L6o5 HZ
524,L605-HZ
525,L6o5-HZ
526,L-605-HZ
527,L6os-HZ
530,L-605-HZ
531,L-605-HZ
532,L-605-HZ
533,L-605-HZ
534,L-605-HZ
535,L605-HZ
536,L6os-HZ
537,L-605-HZ
538,L6o5-HZ
539,L6o5-HZ
540,L6os-HZ
541,L-605-HZ
542,L6o5-HZ
543,L6o5-HZ
544,L6o5-HZ
545,L605-HZ
546,L605-HZ
547,L605-HZ
548,L6os HZ
549,L6o5 HZ
550,L6o5-HZ
554,L6o5-HZ
557,L605-HZ
558,L605-HZ
559,L605-HZ
561,L605-HZ
562,L605-HZ
563,L605-HZ
567,L6o5-HZ
568,L6o5 HZ
571,L6os HZ
572,L6o5-HZ
573,L605-HZ
574,L6o5-HZ
575,Rlu
576,Rhc
577,21ica
578,Kluc
579,Kl73
580,KhE3
581,RC
584,03
585,02
586,Jc
